Fund ID,Effective Date,NAV,Income,Capital Gain,Total Distribution,Reinvestment Price
17705,2021-09-07,1.0,,,,
17705,2021-09-06,1.0,,,,
17705,2021-09-03,1.0,,,,
17705,2021-09-02,1.0,,,,
17705,2021-09-01,1.0,,,,
17705,2021-08-31,1.0,0.0,,,
17705,2021-08-30,1.0,,,,
17705,2021-08-27,1.0,,,,
17705,2021-08-26,1.0,,,,
17705,2021-08-25,1.0,,,,
17705,2021-08-24,1.0,,,,
17705,2021-08-23,1.0,,,,
17705,2021-08-20,1.0,,,,
17705,2021-08-19,1.0,,,,
17705,2021-08-18,1.0,,,,
17705,2021-08-17,1.0,,,,
17705,2021-08-16,1.0,,,,
17705,2021-08-13,1.0,,,,
17705,2021-08-12,1.0,,,,
17705,2021-08-11,1.0,,,,
17705,2021-08-10,1.0,,,,
17705,2021-08-09,1.0,,,,
17705,2021-08-06,1.0,,,,
17705,2021-08-05,1.0,,,,
17705,2021-08-04,1.0,,,,
17705,2021-08-03,1.0,,,,
17705,2021-08-02,1.0,,,,
17705,2021-07-30,1.0,0.0,,,
17705,2021-07-29,1.0,,,,
17705,2021-07-28,1.0,,,,
17705,2021-07-27,1.0,,,,
17705,2021-07-26,1.0,,,,
17705,2021-07-23,1.0,,,,
17705,2021-07-22,1.0,,,,
17705,2021-07-21,1.0,,,,
17705,2021-07-20,1.0,,,,
17705,2021-07-19,1.0,,,,
17705,2021-07-16,1.0,,,,
17705,2021-07-15,1.0,,,,
17705,2021-07-14,1.0,,,,
17705,2021-07-13,1.0,,,,
17705,2021-07-12,1.0,,,,
17705,2021-07-09,1.0,,,,
17705,2021-07-08,1.0,,,,
17705,2021-07-07,1.0,,,,
17705,2021-07-06,1.0,,,,
17705,2021-07-05,1.0,,,,
17705,2021-07-02,1.0,,,,
17705,2021-07-01,1.0,,,,
17705,2021-06-30,1.0,0.0,,,
17705,2021-06-29,1.0,,,,
17705,2021-06-28,1.0,,,,
17705,2021-06-25,1.0,,,,
17705,2021-06-24,1.0,,,,
17705,2021-06-23,1.0,,,,
17705,2021-06-22,1.0,,,,
17705,2021-06-21,1.0,,,,
17705,2021-06-18,1.0,,,,
17705,2021-06-17,1.0,,,,
17705,2021-06-16,1.0,,,,
17705,2021-06-15,1.0,,,,
17705,2021-06-14,1.0,,,,
17705,2021-06-11,1.0,,,,
17705,2021-06-10,1.0,,,,
17705,2021-06-09,1.0,,,,
17705,2021-06-08,1.0,,,,
17705,2021-06-07,1.0,,,,
17705,2021-06-04,1.0,,,,
17705,2021-06-03,1.0,,,,
17705,2021-06-02,1.0,,,,
17705,2021-06-01,1.0,,,,
17705,2021-05-31,1.0,0.0,,,
17705,2021-05-28,1.0,,,,
17705,2021-05-27,1.0,,,,
17705,2021-05-26,1.0,,,,
17705,2021-05-25,1.0,,,,
17705,2021-05-24,1.0,,,,
17705,2021-05-21,1.0,,,,
17705,2021-05-20,1.0,,,,
